Run,Time_ns
1,45806
2,36609
3,35567
4,35312
5,34861
6,34798
7,34777
8,35070
9,34766
10,34843
11,44610
12,34822
13,35046
14,34806
15,35220
16,34634
17,34920
18,35236
19,34763
20,34915
21,35145
22,34898
23,35064
24,34913
25,34961
26,34932
27,34814
28,35007
29,35015
30,34998
31,35042
32,34764
33,34854
34,34788
35,34927
36,34498
37,34940
38,34763
39,39022
40,34745
41,35041
42,34928
43,34812
44,34635
45,34998
46,34666
47,34875
48,34658
49,34858
50,34593
51,34908
52,34732
53,34832
54,34670
55,34806
56,34797
57,34799
58,34512
59,34883
60,35115
61,35093
62,42763
63,53580
64,34846
65,34730
66,43346
67,35133
68,34979
69,35001
70,34730
71,35114
72,35097
73,35033
74,35053
75,35285
76,35031
77,35283
78,42620
79,52973
80,35466
81,35420
82,35015
83,35927
84,35396
85,35455
86,35347
87,38898
88,35552
89,36152
90,35826
91,36488
92,35450
93,40251
94,35486
95,35075
96,34612
97,35707
98,36054
99,35658
100,34845
